,i_S,i_tot_S,i_V,i_tot_V,i_C,i_tot_C,i_ER,i_M1,i_M2,i_M3,i_M4,i_M5,i_M6,i_M7,i_e1,i_e2,i_e3,i_e4,i_e5,i_e6,i_e7,i_e8,i_e9,i_e10,i_e11,cluster_idx
0,0.623,0.333,0.634,0.25,0.28,0.66,0.389,0.796,1.0,0.6,0.4,0.0,0.0,0.665,0.2,0.2,0.05,0.05,0.25,0.17,0.17,0.188,0.25,0.312,0.312,0
30,0.493,0.106,0.171,0.0,0.43,0.0,0.0,0.12,0.33,1.0,0.053,0.0,0.25,0.5,0.2,0.2,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0
50,0.333,0.091,0.415,0.15,0.71,1.0,0.444,0.12,1.0,1.0,0.126,0.25,0.75,0.5,0.2,0.6,0.0,0.05,0.25,0.17,0.33,0.062,0.25,0.062,0.062,0
24,0.275,0.121,0.0,0.0,0.14,0.0,0.056,0.15,0.6,0.8,0.032,0.0,0.0,0.05,0.2,0.2,0.0,0.1,0.5,0.17,0.17,0.0,0.0,0.375,0.375,0
19,0.551,0.243,0.22,0.05,0.14,0.0,0.167,0.12,0.5,1.0,0.032,0.0,0.0,0.5,0.6,0.2,0.05,0.0,0.5,0.33,0.33,0.0,0.0,0.5,0.5,0
39,0.0,0.0,0.22,0.05,0.29,0.0,0.0,0.359,0.4,1.0,0.053,0.0,0.0,0.665,0.2,0.2,0.0,0.0,0.5,0.33,0.17,0.188,0.188,0.0,0.0,0
16,0.899,0.455,0.305,0.1,0.71,0.44,0.5,0.15,1.0,0.8,0.021,0.0,0.25,0.5,0.8,0.8,0.1,0.1,0.25,0.33,0.33,0.25,0.0,0.25,0.25,0
15,0.464,0.053,0.22,0.05,0.29,0.0,0.0,0.12,0.5,1.0,0.084,0.0,0.25,0.25,0.2,0.2,0.0,0.0,0.167,0.33,0.17,0.188,0.25,0.5,0.5,0
28,0.536,0.607,0.171,0.0,0.29,0.0,0.389,0.749,1.0,0.8,0.032,0.0,0.75,0.5,0.2,0.2,0.0,0.15,0.25,0.17,0.17,0.062,0.0,0.0,0.0,0
40,0.42,0.071,0.22,0.05,0.0,0.0,0.0,0.359,0.8,1.0,0.347,0.0,0.0,0.5,0.2,0.2,0.0,0.0,0.0,0.33,0.33,0.0,0.375,0.375,0.375,0
41,0.319,0.051,0.22,0.05,0.57,0.0,0.0,0.479,1.0,1.0,0.032,0.0,0.0,0.5,0.4,0.4,0.0,0.0,0.0,0.33,0.33,0.312,0.312,0.0,0.0,0
